ts,source,fetch_ok,total_items,total_weight,israel_items,israel_weight,attention_share,mean_sentiment,w_n2,w_n1,w_0,w_p1,w_p2,w_u
2026-09-01T07:58:13Z,lefigaro,1,185,55,0,0,0.0,,,,,,,
2026-09-01T07:58:13Z,spiegel,1,168,55,0,0,0.0,,,,,,,
2026-09-01T07:58:13Z,bild,1,176,55,0,0,0.0,,,,,,,
2026-09-01T07:58:13Z,elpais,0,0,0,0,0,,,,,,,,
2026-09-01T07:58:13Z,corriere,1,236,55,0,0,0.0,,,,,,,
2026-09-01T07:58:13Z,cbc,1,30,55,0,0,0.0,,,,,,,
2026-09-01T07:58:13Z,abcau,1,82,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,nyt,1,31,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,usatoday,1,33,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,nypost,1,129,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,cnn,1,45,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,foxnews,1,129,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,nbcnews,1,47,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,newsweek,1,79,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,bbc,1,30,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,guardian,1,38,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,thetimes,1,98,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,dailymail,1,317,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,dw,1,40,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,ap,0,0,0,0,0,,,,,,,,
2026-09-01T08:45:25Z,lemonde,1,36,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,lefigaro,1,185,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,spiegel,1,169,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,bild,1,175,55,0,0,0.0,,,,,,,
